iter	Logloss
0	0.6636699199
1	0.6342692947
2	0.6085291711
3	0.5867266396
4	0.5662150366
5	0.5481277402
6	0.5303082294
7	0.513936813
8	0.4995832367
9	0.4857166074
10	0.4731975464
11	0.4618526225
12	0.4517490124
13	0.4421946368
14	0.4347201582
15	0.426603467
16	0.4192605604
17	0.4117653957
18	0.4059305531
19	0.3994017365
20	0.3935984436
21	0.3882438763
22	0.3828987773
23	0.3784489006
24	0.3739498011
25	0.3699109568
26	0.3659483231
27	0.3622337001
28	0.3588011242
29	0.3553282822
30	0.3520885548
31	0.3502918495
32	0.3478299814
33	0.3452770092
34	0.3422170872
35	0.340145695
36	0.3378493196
37	0.3357872959
38	0.3342642402
39	0.3321144957
40	0.3309556203
41	0.3294410219
42	0.3279774751
43	0.3259943627
44	0.3243875087
45	0.3226605171
46	0.3219335937
47	0.3210290894
48	0.3198285554
49	0.3188795
50	0.3180315785
51	0.3165061776
52	0.3156547737
53	0.3145875747
54	0.3136704277
55	0.3129366442
56	0.3117737598
57	0.3110719541
58	0.3095644061
59	0.3088428426
60	0.3080480119
61	0.3074215363
62	0.3070148035
63	0.3060191301
64	0.3053436147
65	0.3040414305
66	0.3032768846
67	0.3026049601
68	0.3018010556
69	0.3008095882
70	0.3002730935
71	0.2996769537
72	0.2990713916
73	0.2985315382
74	0.2978285526
75	0.2973408344
76	0.2967581511
77	0.2961064846
78	0.2948551092
79	0.2944168306
80	0.2939756315
81	0.2936215321
82	0.2932469677
83	0.2924328878
84	0.2919297055
85	0.2909995791
86	0.2900527438
87	0.2897275032
88	0.2892030813
89	0.2888600961
90	0.2883839286
91	0.2880289176
92	0.2875928686
93	0.2871004103
94	0.2865308759
95	0.2859449512
96	0.2855167364
97	0.2849817554
98	0.2846423566
99	0.2841151193
100	0.2834981929
101	0.283156459
102	0.2826461014
103	0.2823542853
104	0.2820482967
105	0.2817620565
106	0.2813984842
107	0.2811190012
108	0.2808351567
109	0.2803084483
110	0.2800729323
111	0.2796220553
112	0.2793266295
113	0.278964292
114	0.2784660423
115	0.2780021706
116	0.2777199676
117	0.2773832149
118	0.2771222968
119	0.2766863911
120	0.2762995457
121	0.2760417441
122	0.2754747256
123	0.2749884105
124	0.2746695411
125	0.2741040113
126	0.2735022996
127	0.2732145514
128	0.2728967694
129	0.2722359302
130	0.2716093647
131	0.2713999825
132	0.2709928438
133	0.2707632306
134	0.2705204798
135	0.2702786892
136	0.2699079957
137	0.2696278693
138	0.2692996504
139	0.2688101541
140	0.2685589648
141	0.2682981412
142	0.2680109048
143	0.2677371567
144	0.2673122674
145	0.2670755787
146	0.2666823295
147	0.266522423
148	0.2662235266
149	0.265798707
150	0.2655485094
151	0.2652518301
152	0.2650066793
153	0.2644668862
154	0.2642011866
155	0.2639800685
156	0.2636476962
157	0.2632120815
158	0.262980697
159	0.2626467706
160	0.2623079439
161	0.2620103998
162	0.2617212908
163	0.2613358701
164	0.2610681888
165	0.2607153386
166	0.2602198912
167	0.2599989503
168	0.2595958353
169	0.2593979741
170	0.2591135089
171	0.2588604115
172	0.2586428409
173	0.25840413
174	0.2582190566
175	0.257723232
176	0.2574028549
177	0.2572574623
178	0.2568862031
179	0.2566958591
180	0.2565492527
181	0.2561620371
182	0.2558562733
183	0.2556503489
184	0.2554143989
185	0.2552925089
186	0.2549161022
187	0.2544071234
188	0.2541520876
189	0.2539546136
190	0.2536137999
191	0.2534549335
192	0.2531574766
193	0.2529954411
194	0.2527238933
195	0.2524844665
196	0.2522310997
197	0.2520383115
198	0.2517775751
199	0.2515477736
200	0.2512092943
201	0.250943397
202	0.25079971
203	0.2506424887
204	0.2503463392
205	0.2500638247
206	0.2497621659
207	0.2494729226
208	0.2490990358
209	0.2489847095
210	0.2487081427
211	0.2484789066
212	0.2483146033
213	0.2481807981
214	0.2480912076
215	0.2478671562
216	0.2477223008
217	0.2475929241
218	0.2472806784
219	0.2471300941
220	0.2468899248
221	0.2466858289
222	0.2465624353
223	0.2463875521
224	0.2462433458
225	0.2459862822
226	0.2458270771
227	0.2455880443
228	0.2454230063
229	0.245209882
230	0.2449670767
231	0.2446097064
232	0.2443281501
233	0.2440550839
234	0.2434601485
235	0.2433218303
236	0.2431854748
237	0.2428923201
238	0.2426730542
239	0.2424857552
240	0.2422086823
241	0.2420228452
242	0.2418135548
243	0.2415336723
244	0.2413716807
245	0.241165578
246	0.2409229629
247	0.2407268503
248	0.2402359423
249	0.2400761833
250	0.2399158594
251	0.2396922837
252	0.2395965251
253	0.2394807137
254	0.2393321355
255	0.2390888711
256	0.2388078532
257	0.2385271868
258	0.2383877498
259	0.2382208492
260	0.2380597912
261	0.237988451
262	0.2376334087
263	0.2375177735
264	0.2372797823
265	0.2371754372
266	0.2369692263
267	0.2366337842
268	0.2364379885
269	0.2362797983
270	0.2361016992
271	0.2359560153
272	0.2358050798
273	0.2356067732
274	0.2353245789
275	0.2351041554
276	0.2349439223
277	0.2347640436
278	0.2344898123
279	0.2342898774
280	0.233810745
281	0.2336028916
282	0.2333295318
283	0.2331825344
284	0.2329592723
285	0.2327590513
286	0.2326548045
287	0.2325271035
288	0.2323948446
289	0.2321690739
290	0.2320286485
291	0.2318484191
292	0.231584965
293	0.2314402353
294	0.2312187934
295	0.2310854869
296	0.2308658454
297	0.2306962205
298	0.2305474477
299	0.2301937454
300	0.2300839163
301	0.2298578644
302	0.2296448368
303	0.2295197862
304	0.2294013859
305	0.22918799
306	0.2289948294
307	0.2287877995
308	0.2286188078
309	0.2283286813
310	0.2281621492
311	0.2280145421
312	0.2277624255
313	0.2275845639
314	0.2273744903
315	0.2272363565
316	0.2269806338
317	0.2268890779
318	0.2267216632
319	0.2265380195
320	0.2263233047
321	0.2260851834
322	0.2258879913
323	0.2257326482
324	0.2255491345
325	0.2254049631
326	0.2251908881
327	0.2249536769
328	0.2247060186
329	0.224589592
330	0.2244760138
331	0.22439077
332	0.2241884772
333	0.2239944243
334	0.2236777221
335	0.2234099108
336	0.2232541645
337	0.2230671397
338	0.2228761514
339	0.2227491678
340	0.2225113282
341	0.2221882244
342	0.2220023311
343	0.2218532872
344	0.221668426
345	0.2215492734
346	0.2214489439
347	0.2212414497
348	0.2208779019
349	0.2206742708
350	0.220491914
351	0.2201993529
352	0.219987087
353	0.219699074
354	0.2195226377
355	0.2193705618
356	0.2192089803
357	0.2190288495
358	0.2186659805
359	0.2184494629
360	0.2182817059
361	0.2180701685
362	0.2178998979
363	0.217788521
364	0.2176412062
365	0.2175257412
366	0.217042839
367	0.2168606372
368	0.2165816886
369	0.2164685628
370	0.2163302064
371	0.2161282491
372	0.2159705541
373	0.2158120311
374	0.2157164182
375	0.2153753592
376	0.2151604109
377	0.2149106671
378	0.2147721238
379	0.2145866738
380	0.2145226679
381	0.2143803843
382	0.2142266734
383	0.2139185441
384	0.21377187
385	0.2134057033
386	0.2132659847
387	0.2129948064
388	0.2128422958
389	0.2125652777
390	0.2124172706
391	0.2120751249
392	0.2119851638
393	0.2117624959
394	0.2116397156
395	0.2115196414
396	0.2113081716
397	0.211109691
398	0.2109317472
399	0.210839227
400	0.2106420647
401	0.2103241029
402	0.2101108634
403	0.2099755682
404	0.2098188635
405	0.2095671205
406	0.2094692511
407	0.2092845642
408	0.2091577965
409	0.2089215319
410	0.2087908808
411	0.208714474
412	0.2084650607
413	0.2083345007
414	0.2082133128
415	0.2081139126
416	0.2077031645
417	0.2075579364
418	0.207342568
419	0.2071773869
420	0.207065873
421	0.2069672987
422	0.2067636198
423	0.2066259608
424	0.2062520084
425	0.206062395
426	0.2059608976
427	0.2057623906
428	0.2056128553
429	0.2054258401
430	0.2052679783
431	0.2051439151
432	0.205070177
433	0.2048119721
434	0.2047235708
435	0.2045814792
436	0.2044790788
437	0.2043447378
438	0.204227067
439	0.2040691813
440	0.2039259959
441	0.2037334088
442	0.2036038567
443	0.2034888358
444	0.203387732
445	0.203290359
446	0.2031311521
447	0.202950244
448	0.2027823602
449	0.2025472774
450	0.202479052
451	0.2023519147
452	0.2021455487
453	0.2020441485
454	0.2019165249
455	0.2017963408
456	0.201473656
457	0.2013606838
458	0.2011944156
459	0.2010816846
460	0.2009544401
