iter	Passed	Remaining
0	152	152400
1	165	82565
2	178	59484
3	189	47201
4	198	39470
5	206	34289
6	219	31184
7	229	28470
8	240	26525
9	252	25025
10	263	23697
11	276	22756
12	287	21854
13	299	21123
14	315	20687
15	328	20228
16	347	20114
17	359	19634
18	373	19278
19	388	19041
20	403	18832
21	418	18618
22	433	18408
23	450	18323
24	471	18371
25	487	18268
26	501	18059
27	516	17914
28	532	17822
29	551	17819
30	571	17852
31	591	17888
32	612	17960
33	634	18013
34	657	18132
35	673	18044
36	688	17928
37	700	17725
38	712	17563
39	726	17425
40	739	17292
41	750	17113
42	762	16973
43	776	16874
44	788	16738
45	801	16622
46	817	16581
47	829	16447
48	841	16322
49	853	16216
50	863	16071
51	876	15980
52	888	15883
53	898	15746
54	911	15656
55	922	15555
56	934	15458
57	945	15352
58	958	15288
59	970	15203
60	981	15115
61	994	15047
62	1007	14985
63	1023	14963
64	1037	14917
65	1049	14858
66	1062	14794
67	1080	14810
68	1096	14797
69	1114	14801
70	1131	14808
71	1149	14811
72	1165	14799
73	1182	14795
74	1205	14865
75	1220	14841
76	1240	14868
77	1263	14935
78	1284	14977
79	1305	15010
80	1330	15092
81	1354	15163
82	1384	15301
83	1408	15354
84	1427	15369
85	1443	15341
86	1462	15349
87	1480	15343
88	1498	15336
89	1516	15329
90	1532	15309
91	1547	15274
92	1563	15243
93	1579	15226
94	1597	15221
95	1614	15206
96	1631	15189
97	1647	15166
98	1665	15160
99	1683	15150
100	1698	15119
101	1714	15091
102	1729	15058
103	1745	15035
104	1763	15034
105	1775	14975
106	1789	14936
107	1803	14894
108	1822	14898
109	1842	14906
110	1859	14896
111	1878	14893
112	1898	14900
113	1918	14910
114	1938	14918
115	1957	14920
116	1977	14922
117	1995	14916
118	2015	14919
119	2031	14899
120	2051	14904
121	2070	14900
122	2085	14868
123	2102	14854
124	2118	14826
125	2135	14811
126	2150	14784
127	2166	14760
128	2180	14722
129	2195	14694
130	2211	14668
131	2224	14629
132	2240	14604
133	2255	14577
134	2271	14551
135	2286	14523
136	2301	14496
137	2315	14464
138	2332	14449
139	2351	14442
140	2371	14446
141	2389	14435
142	2403	14401
143	2417	14373
144	2430	14333
145	2443	14295
146	2458	14264
147	2475	14249
148	2489	14218
149	2508	14215
150	2524	14193
151	2540	14170
152	2557	14158
153	2574	14145
154	2591	14126
155	2614	14145
156	2636	14157
157	2657	14161
158	2677	14161
159	2695	14150
160	2713	14138
161	2730	14124
162	2746	14102
163	2762	14081
164	2778	14061
165	2793	14036
166	2809	14015
167	2825	13990
168	2839	13961
169	2857	13951
170	2875	13939
171	2892	13926
172	2908	13902
173	2923	13878
174	2941	13869
175	2960	13860
176	2981	13861
177	2995	13832
178	3010	13806
179	3026	13788
180	3039	13754
181	3055	13735
182	3069	13704
183	3085	13682
184	3103	13671
